year,month,neighbourhood,num_reviews,date
2016,07,Deurne Dorp - Gallifort,3,2016-07-01
2016,07,Deurne Zuid West,13,2016-07-01
2016,07,Eilandje,11,2016-07-01
2016,07,Groenenhoek,3,2016-07-01
2016,07,Haringrode,4,2016-07-01
2016,07,Harmonie,8,2016-07-01
2016,07,Historisch Centrum,67,2016-07-01
2016,07,Hoboken - Centrum,1,2016-07-01
2016,07,Kiel,2,2016-07-01
2016,07,Linkeroever,2,2016-07-01
2016,07,Markgrave,4,2016-07-01
2016,07,Middelheim,3,2016-07-01
2016,07,Nieuw - Kwartier Oost,1,2016-07-01
2016,07,Nieuw - Kwartier West,1,2016-07-01
2016,07,Oosterveld - Elsdonk,3,2016-07-01
2016,07,Oud - Berchem,9,2016-07-01
2016,07,Petroleum - Zuid,2,2016-07-01
2016,07,Sint-Andries,21,2016-07-01
2016,07,Stadspark,17,2016-07-01
2016,07,Stuivenberg,2,2016-07-01
2016,07,Theaterbuurt-Meir,40,2016-07-01
2016,07,Universiteitsbuurt,58,2016-07-01
2016,07,Zuid,22,2016-07-01
2016,08,Amandus - Atheneum,50,2016-08-01
2016,08,Borgerhout Extra Muros,6,2016-08-01
2016,08,Borgerhout Intra Muros Noord,21,2016-08-01
2016,08,Borgerhout Intra Muros Zuid,33,2016-08-01
2016,08,Brederode,7,2016-08-01
2016,08,Centraal Station,23,2016-08-01
2016,08,Deurne Dorp - Gallifort,4,2016-08-01
2016,08,Deurne Oost,1,2016-08-01
2016,08,Deurne Zuid West,7,2016-08-01
2016,08,Eilandje,16,2016-08-01
2016,08,Groenenhoek,1,2016-08-01
2016,08,Haringrode,1,2016-08-01
2016,08,Harmonie,4,2016-08-01
2016,08,Historisch Centrum,66,2016-08-01
2016,08,Hoboken - Centrum,2,2016-08-01
2016,08,Kiel,4,2016-08-01
2016,08,Linkeroever,1,2016-08-01
2016,08,Markgrave,7,2016-08-01
2016,08,Middelheim,2,2016-08-01
2016,08,Oosterveld - Elsdonk,2,2016-08-01
2016,08,Oud - Berchem,6,2016-08-01
2016,08,Sint-Andries,25,2016-08-01
2016,08,Stadspark,20,2016-08-01
2016,08,Stuivenberg,2,2016-08-01
2016,08,Tentoonstellingswijk,1,2016-08-01
2016,08,Theaterbuurt-Meir,33,2016-08-01
2016,08,Universiteitsbuurt,50,2016-08-01
2016,08,Zuid,19,2016-08-01
2016,09,Amandus - Atheneum,54,2016-09-01
2016,09,Borgerhout Extra Muros,4,2016-09-01
2016,09,Borgerhout Intra Muros Noord,16,2016-09-01
2016,09,Borgerhout Intra Muros Zuid,35,2016-09-01
2016,09,Brederode,4,2016-09-01
2016,09,Centraal Station,20,2016-09-01
2016,09,Deurne Dorp - Gallifort,1,2016-09-01
2016,09,Deurne Zuid West,6,2016-09-01
2016,09,Eilandje,8,2016-09-01
2016,09,Haringrode,2,2016-09-01
2016,09,Harmonie,2,2016-09-01
2016,09,Historisch Centrum,55,2016-09-01
2016,09,Kiel,5,2016-09-01
2016,09,Markgrave,4,2016-09-01
2016,09,Middelheim,2,2016-09-01
2016,09,Oud - Berchem,3,2016-09-01
2016,09,Petroleum - Zuid,2,2016-09-01
2016,09,Sint-Andries,19,2016-09-01
2016,09,Stadspark,13,2016-09-01
2016,09,Stuivenberg,5,2016-09-01
2016,09,Theaterbuurt-Meir,36,2016-09-01
2016,09,Universiteitsbuurt,54,2016-09-01
2016,09,Wilrijk Centrum,2,2016-09-01
2016,09,Zuid,18,2016-09-01
2016,10,Amandus - Atheneum,80,2016-10-01
2016,10,Borgerhout Intra Muros Noord,27,2016-10-01
2016,10,Borgerhout Intra Muros Zuid,40,2016-10-01
2016,10,Brederode,2,2016-10-01
2016,10,Centraal Station,24,2016-10-01
2016,10,Deurne Dorp - Gallifort,2,2016-10-01
2016,10,Deurne Noord,1,2016-10-01
2016,10,Deurne Zuid West,10,2016-10-01
2016,10,Eilandje,12,2016-10-01
2016,10,Haringrode,3,2016-10-01
2016,10,Harmonie,4,2016-10-01
2016,10,Historisch Centrum,77,2016-10-01
2016,10,Hoboken - Centrum,3,2016-10-01
2016,10,Kiel,1,2016-10-01
2016,10,Markgrave,6,2016-10-01
2016,10,Nieuw - Kwartier Oost,1,2016-10-01
2016,10,Oosterveld - Elsdonk,1,2016-10-01
2016,10,Oud - Berchem,9,2016-10-01
2016,10,Oud - Merksem,3,2016-10-01
2016,10,Petroleum - Zuid,1,2016-10-01
2016,10,Polder,1,2016-10-01
2016,10,Sint-Andries,19,2016-10-01
2016,10,Stadspark,22,2016-10-01
2016,10,Stuivenberg,8,2016-10-01
2016,10,Theaterbuurt-Meir,63,2016-10-01
2016,10,Universiteitsbuurt,55,2016-10-01
2016,10,Wilrijk Centrum,3,2016-10-01
2016,10,Zuid,29,2016-10-01
2016,11,Amandus - Atheneum,64,2016-11-01
2016,11,Borgerhout Extra Muros,3,2016-11-01
2016,11,Borgerhout Intra Muros Noord,15,2016-11-01
2016,11,Borgerhout Intra Muros Zuid,44,2016-11-01
2016,11,Brederode,1,2016-11-01
2016,11,Centraal Station,22,2016-11-01
2016,11,Deurne Dorp - Gallifort,1,2016-11-01
2016,11,Deurne Zuid West,7,2016-11-01
2016,11,Eilandje,12,2016-11-01
2016,11,Groenenhoek,1,2016-11-01
2016,11,Haringrode,3,2016-11-01
2016,11,Harmonie,3,2016-11-01
2016,11,Historisch Centrum,63,2016-11-01
2016,11,Hoboken - Centrum,1,2016-11-01
2016,11,Kiel,2,2016-11-01
2016,11,Markgrave,6,2016-11-01
2016,11,Middelheim,2,2016-11-01
2016,11,Oosterveld - Elsdonk,5,2016-11-01
2016,11,Oud - Berchem,6,2016-11-01
2016,11,Oud - Merksem,5,2016-11-01
2016,11,Petroleum - Zuid,2,2016-11-01
2016,11,Sint-Andries,16,2016-11-01
2016,11,Stadspark,11,2016-11-01
2016,11,Stuivenberg,8,2016-11-01
2016,11,Theaterbuurt-Meir,41,2016-11-01
2016,11,Universiteitsbuurt,51,2016-11-01
2016,11,Wilrijk Centrum,1,2016-11-01
2016,11,Zuid,20,2016-11-01
2016,12,Amandus - Atheneum,57,2016-12-01
2016,12,Borgerhout Extra Muros,5,2016-12-01
2016,12,Borgerhout Intra Muros Noord,14,2016-12-01
2016,12,Borgerhout Intra Muros Zuid,33,2016-12-01
2016,12,Brederode,5,2016-12-01
2016,12,Centraal Station,18,2016-12-01
2016,12,Deurne Dorp - Gallifort,1,2016-12-01
2016,12,Deurne Noord,2,2016-12-01
2016,12,Deurne Zuid West,11,2016-12-01
2016,12,Eilandje,19,2016-12-01
2016,12,Haringrode,5,2016-12-01
2016,12,Historisch Centrum,82,2016-12-01
2016,12,Hoboken - Centrum,3,2016-12-01
2016,12,Kiel,1,2016-12-01
2016,12,Markgrave,8,2016-12-01
2016,12,Merksem - Heide,1,2016-12-01
2016,12,Middelheim,2,2016-12-01
2016,12,Oosterveld - Elsdonk,4,2016-12-01
2016,12,Oud - Berchem,12,2016-12-01
2016,12,Oud - Merksem,3,2016-12-01
2016,12,Petroleum - Zuid,1,2016-12-01
2016,12,Sint-Andries,24,2016-12-01
2016,12,Stadspark,15,2016-12-01
2016,12,Stuivenberg,8,2016-12-01
2016,12,Theaterbuurt-Meir,44,2016-12-01
2016,12,Universiteitsbuurt,52,2016-12-01
2016,12,Zuid,23,2016-12-01
2016,12,Zurenborg,3,2016-12-01
2017,01,Amandus - Atheneum,56,2017-01-01
2017,01,Borgerhout Extra Muros,3,2017-01-01
2017,01,Borgerhout Intra Muros Noord,7,2017-01-01
2017,01,Borgerhout Intra Muros Zuid,30,2017-01-01
2017,01,Brederode,1,2017-01-01
2017,01,Centraal Station,9,2017-01-01
2017,01,Deurne Dorp - Gallifort,1,2017-01-01
2017,01,Deurne Zuid West,6,2017-01-01
2017,01,Eilandje,19,2017-01-01
2017,01,Groenenhoek,1,2017-01-01
2017,01,Haringrode,4,2017-01-01
2017,01,Harmonie,1,2017-01-01
2017,01,Historisch Centrum,88,2017-01-01
2017,01,Hoboken - Centrum,5,2017-01-01
2017,01,Hoboken - Noord,1,2017-01-01
2017,01,Kiel,2,2017-01-01
2017,01,Linkeroever,1,2017-01-01
2017,01,Markgrave,10,2017-01-01
2017,01,Oosterveld - Elsdonk,2,2017-01-01
2017,01,Oud - Berchem,13,2017-01-01
2017,01,Oud - Merksem,1,2017-01-01
2017,01,Petroleum - Zuid,3,2017-01-01
2017,01,Sint-Andries,30,2017-01-01
2017,01,Stadspark,9,2017-01-01
2017,01,Stuivenberg,9,2017-01-01
2017,01,Tentoonstellingswijk,1,2017-01-01
2017,01,Theaterbuurt-Meir,38,2017-01-01
2017,01,Universiteitsbuurt,40,2017-01-01
2017,01,Zuid,18,2017-01-01
2017,01,Zurenborg,4,2017-01-01
2017,02,Amandus - Atheneum,65,2017-02-01
2017,02,Borgerhout Extra Muros,3,2017-02-01
